domain,label,category,source_dataset,source_threat,source_label,source_length
gacuhoside.net,1,dga_short_le_10,ExtraHop/DGA-Detection-Training-Dataset,dga,gacuhoside,10
damqyhms.org,1,dga_short_le_10,ExtraHop/DGA-Detection-Training-Dataset,dga,damqyhms,8
mbcchurch.net,0,benign_short_le_10,ExtraHop/DGA-Detection-Training-Dataset,benign,mbcchurch,9
ldkkllaabettingk.com,1,dga_long_gt_15,ExtraHop/DGA-Detection-Training-Dataset,dga,ldkkllaabettingk,16
solutionforcomputer.com,0,benign_long_gt_15,ExtraHop/DGA-Detection-Training-Dataset,benign,solutionforcomputer,19
grandhistoricvenue.org,0,benign_long_gt_15,ExtraHop/DGA-Detection-Training-Dataset,benign,grandhistoricvenue,18
ecf-coffee.net,0,benign_short_le_10,ExtraHop/DGA-Detection-Training-Dataset,benign,ecf-coffee,10
towardness.com,0,benign_short_le_10,ExtraHop/DGA-Detection-Training-Dataset,benign,towardness,10
wxkt5dybc4aha4utm6g.net,1,dga_long_gt_15,ExtraHop/DGA-Detection-Training-Dataset,dga,wxkt5dybc4aha4utm6g,19
gmyikaaoigkucmkqauggsqkqwgwik.com,1,dga_long_gt_15,ExtraHop/DGA-Detection-Training-Dataset,dga,gmyikaaoigkucmkqauggsqkqwgwik,29
sackraces.org,0,benign_short_le_10,ExtraHop/DGA-Detection-Training-Dataset,benign,sackraces,9
ub30cngbexyrmjmx1d1p7pw.net,1,dga_long_gt_15,ExtraHop/DGA-Detection-Training-Dataset,dga,ub30cngbexyrmjmx1d1p7pw,23
vaqufytbylgjdnsudvewd.org,1,dga_long_gt_15,ExtraHop/DGA-Detection-Training-Dataset,dga,vaqufytbylgjdnsudvewd,21
qjfwlf.net,1,dga_short_le_10,ExtraHop/DGA-Detection-Training-Dataset,dga,qjfwlf,6
mkcmvlaw.net,1,dga_short_le_10,ExtraHop/DGA-Detection-Training-Dataset,dga,mkcmvlaw,8
tvfjxccvyjk.com,1,dga_short_11_15,ExtraHop/DGA-Detection-Training-Dataset,dga,tvfjxccvyjk,11
lysanojymalesiwazos.net,1,dga_long_gt_15,ExtraHop/DGA-Detection-Training-Dataset,dga,lysanojymalesiwazos,19
l-acajou.info,0,benign_short_le_10,ExtraHop/DGA-Detection-Training-Dataset,benign,l-acajou,8
vicukemolyfalig.info,1,dga_short_11_15,ExtraHop/DGA-Detection-Training-Dataset,dga,vicukemolyfalig,15
nawptdnrqbpouxpnvg.com,1,dga_long_gt_15,ExtraHop/DGA-Detection-Training-Dataset,dga,nawptdnrqbpouxpnvg,18
y2rvbr1noe2w51g2e514ix198u.info,1,dga_long_gt_15,ExtraHop/DGA-Detection-Training-Dataset,dga,y2rvbr1noe2w51g2e514ix198u,26
urbanknightsradio.net,0,benign_long_gt_15,ExtraHop/DGA-Detection-Training-Dataset,benign,urbanknightsradio,17
ihyhemqgews.com,1,dga_short_11_15,ExtraHop/DGA-Detection-Training-Dataset,dga,ihyhemqgews,11
muyi.com,0,benign_short_le_10,ExtraHop/DGA-Detection-Training-Dataset,benign,muyi,4
ringisland.info,0,benign_short_le_10,ExtraHop/DGA-Detection-Training-Dataset,benign,ringisland,10
mfrtoccexywpxdnl.org,1,dga_long_gt_15,ExtraHop/DGA-Detection-Training-Dataset,dga,mfrtoccexywpxdnl,16
inomate.info,0,benign_short_le_10,ExtraHop/DGA-Detection-Training-Dataset,benign,inomate,7
mmoktwg.org,1,dga_short_le_10,ExtraHop/DGA-Detection-Training-Dataset,dga,mmoktwg,7
mabejifo.org,1,dga_short_le_10,ExtraHop/DGA-Detection-Training-Dataset,dga,mabejifo,8
crystalwaterstarot.net,0,benign_long_gt_15,ExtraHop/DGA-Detection-Training-Dataset,benign,crystalwaterstarot,18
filarmonicatresigallo.com,0,benign_long_gt_15,ExtraHop/DGA-Detection-Training-Dataset,benign,filarmonicatresigallo,21
wwpvetball.com,1,dga_short_le_10,ExtraHop/DGA-Detection-Training-Dataset,dga,wwpvetball,10
fbtz.org,0,benign_short_le_10,ExtraHop/DGA-Detection-Training-Dataset,benign,fbtz,4
cicyvitytalyjefo.info,1,dga_long_gt_15,ExtraHop/DGA-Detection-Training-Dataset,dga,cicyvitytalyjefo,16
moniquekooijmans.org,0,benign_long_gt_15,ExtraHop/DGA-Detection-Training-Dataset,benign,moniquekooijmans,16
rvmjment.net,1,dga_short_le_10,ExtraHop/DGA-Detection-Training-Dataset,dga,rvmjment,8
mauidharmacenter.org,0,benign_long_gt_15,ExtraHop/DGA-Detection-Training-Dataset,benign,mauidharmacenter,16
outpension.info,0,benign_short_le_10,ExtraHop/DGA-Detection-Training-Dataset,benign,outpension,10
3v185xq47p1vq2evunk.org,1,dga_long_gt_15,ExtraHop/DGA-Detection-Training-Dataset,dga,3v185xq47p1vq2evunk,19
agwuankpirwqcs.org,1,dga_short_11_15,ExtraHop/DGA-Detection-Training-Dataset,dga,agwuankpirwqcs,14
plpjjjmi.net,1,dga_short_le_10,ExtraHop/DGA-Detection-Training-Dataset,dga,plpjjjmi,8
dxvkordf150.info,1,dga_short_11_15,ExtraHop/DGA-Detection-Training-Dataset,dga,dxvkordf150,11
gmyqmkwmwy.com,1,dga_short_le_10,ExtraHop/DGA-Detection-Training-Dataset,dga,gmyqmkwmwy,10
aawcusmmck.org,1,dga_short_le_10,ExtraHop/DGA-Detection-Training-Dataset,dga,aawcusmmck,10
eiuicsoaociycgeeccoqy.com,1,dga_long_gt_15,ExtraHop/DGA-Detection-Training-Dataset,dga,eiuicsoaociycgeeccoqy,21
oahonta.org,1,dga_short_le_10,ExtraHop/DGA-Detection-Training-Dataset,dga,oahonta,7
nevergetarealjob.net,0,benign_long_gt_15,ExtraHop/DGA-Detection-Training-Dataset,benign,nevergetarealjob,16
qgqmsowwmoeimewcowocmqqmeimwe.net,1,dga_long_gt_15,ExtraHop/DGA-Detection-Training-Dataset,dga,qgqmsowwmoeimewcowocmqqmeimwe,29
phongchonglutbaotphcm.net,0,benign_long_gt_15,ExtraHop/DGA-Detection-Training-Dataset,benign,phongchonglutbaotphcm,21
rpdmey.org,1,dga_short_le_10,ExtraHop/DGA-Detection-Training-Dataset,dga,rpdmey,6
filmshooterscollective.org,0,benign_long_gt_15,ExtraHop/DGA-Detection-Training-Dataset,benign,filmshooterscollective,22
smotjtfein.com,1,dga_short_le_10,ExtraHop/DGA-Detection-Training-Dataset,dga,smotjtfein,10
emxfhwi.net,1,dga_short_le_10,ExtraHop/DGA-Detection-Training-Dataset,dga,emxfhwi,7
terrjhxla.com,1,dga_short_le_10,ExtraHop/DGA-Detection-Training-Dataset,dga,terrjhxla,9
stonybrookprimarycare.org,0,benign_long_gt_15,ExtraHop/DGA-Detection-Training-Dataset,benign,stonybrookprimarycare,21
hvbinhoa.com,1,dga_short_le_10,ExtraHop/DGA-Detection-Training-Dataset,dga,hvbinhoa,8
vxjwey.org,1,dga_short_le_10,ExtraHop/DGA-Detection-Training-Dataset,dga,vxjwey,6
dkmsjk.org,1,dga_short_le_10,ExtraHop/DGA-Detection-Training-Dataset,dga,dkmsjk,6
flekkefjordrugbyklubb.info,0,benign_long_gt_15,ExtraHop/DGA-Detection-Training-Dataset,benign,flekkefjordrugbyklubb,21
jaysieganpresents.net,0,benign_long_gt_15,ExtraHop/DGA-Detection-Training-Dataset,benign,jaysieganpresents,17
radicalinnovationinhospitality.info,0,benign_long_gt_15,ExtraHop/DGA-Detection-Training-Dataset,benign,radicalinnovationinhospitality,30
abouttimeformassage.info,0,benign_long_gt_15,ExtraHop/DGA-Detection-Training-Dataset,benign,abouttimeformassage,19
southhillsdental.net,0,benign_long_gt_15,ExtraHop/DGA-Detection-Training-Dataset,benign,southhillsdental,16
