domain,label,source_dataset,source_threat,source_label,source_length,length_band
btqvkhu.net,1,ExtraHop/DGA-Detection-Training-Dataset,dga,btqvkhu,7,dga_le_10
btrcnzhowa.net,1,ExtraHop/DGA-Detection-Training-Dataset,dga,btrcnzhowa,10,dga_le_10
bunclkvr.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,bunclkvr,8,dga_le_10
bwhwfcr.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,bwhwfcr,7,dga_le_10
bwngxge.net,1,ExtraHop/DGA-Detection-Training-Dataset,dga,bwngxge,7,dga_le_10
bxmhstring.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,bxmhstring,10,dga_le_10
bxvvtruck.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,bxvvtruck,9,dga_le_10
byxbavrt.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,byxbavrt,8,dga_le_10
bzfvbsrm.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,bzfvbsrm,8,dga_le_10
bztybucnhs.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,bztybucnhs,10,dga_le_10
caogpijifd.net,1,ExtraHop/DGA-Detection-Training-Dataset,dga,caogpijifd,10,dga_le_10
catderrari.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,catderrari,10,dga_le_10
cbqhleixtl.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,cbqhleixtl,10,dga_le_10
cbsceikvzr.net,1,ExtraHop/DGA-Detection-Training-Dataset,dga,cbsceikvzr,10,dga_le_10
cclzngeles.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,cclzngeles,10,dga_le_10
ccsadyxe.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,ccsadyxe,8,dga_le_10
ccxnopcomp.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,ccxnopcomp,10,dga_le_10
ccxwwxs.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,ccxwwxs,7,dga_le_10
cegakzwad.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,cegakzwad,9,dga_le_10
ceyyuaaoy.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,ceyyuaaoy,9,dga_le_10
cgtgbjfs.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,cgtgbjfs,8,dga_le_10
chitjvmqn.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,chitjvmqn,9,dga_le_10
cinequmy.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,cinequmy,8,dga_le_10
cinerata.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,cinerata,8,dga_le_10
citedace.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,citedace,8,dga_le_10
citenami.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,citenami,8,dga_le_10
citeqyka.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,citeqyka,8,dga_le_10
ciwecatu.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,ciwecatu,8,dga_le_10
ciyoqgj.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,ciyoqgj,7,dga_le_10
cjfgbkvvuw.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,cjfgbkvvuw,10,dga_le_10
clbbxl.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,clbbxl,6,dga_le_10
clifdiss.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,clifdiss,8,dga_le_10
cljfkwemjd.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,cljfkwemjd,10,dga_le_10
clxmjwm.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,clxmjwm,7,dga_le_10
clygmpdwqi.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,clygmpdwqi,10,dga_le_10
cmlolgxqp.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,cmlolgxqp,9,dga_le_10
cmxtpapoqw.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,cmxtpapoqw,10,dga_le_10
cobrhl.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,cobrhl,6,dga_le_10
coeycar.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,coeycar,7,dga_le_10
coqcejmt.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,coqcejmt,8,dga_le_10
covxfuh.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,covxfuh,7,dga_le_10
crakuobmg.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,crakuobmg,9,dga_le_10
crkooynrq.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,crkooynrq,9,dga_le_10
crrucvlcwb.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,crrucvlcwb,10,dga_le_10
cshkmwy.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,cshkmwy,7,dga_le_10
cuexgkdm.net,1,ExtraHop/DGA-Detection-Training-Dataset,dga,cuexgkdm,8,dga_le_10
cumppg.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,cumppg,6,dga_le_10
cuqfgdha.net,1,ExtraHop/DGA-Detection-Training-Dataset,dga,cuqfgdha,8,dga_le_10
cuqmdfb.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,cuqmdfb,7,dga_le_10
cuzcacivic.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,cuzcacivic,10,dga_le_10
cvhkkxcupe.net,1,ExtraHop/DGA-Detection-Training-Dataset,dga,cvhkkxcupe,10,dga_le_10
cwsjytrain.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,cwsjytrain,10,dga_le_10
czuquuqrsd.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,czuquuqrsd,10,dga_le_10
dahuhhrs.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,dahuhhrs,8,dga_le_10
daxaxih.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,daxaxih,7,dga_le_10
dazxbtln.net,1,ExtraHop/DGA-Detection-Training-Dataset,dga,dazxbtln,8,dga_le_10
ddfprcegg.net,1,ExtraHop/DGA-Detection-Training-Dataset,dga,ddfprcegg,9,dga_le_10
ddjhafcy.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,ddjhafcy,8,dga_le_10
ddsnficjam.net,1,ExtraHop/DGA-Detection-Training-Dataset,dga,ddsnficjam,10,dga_le_10
debbdicx.net,1,ExtraHop/DGA-Detection-Training-Dataset,dga,debbdicx,8,dga_le_10
dfwvrmjp.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,dfwvrmjp,8,dga_le_10
dfypcvjtmi.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,dfypcvjtmi,10,dga_le_10
dgyhhtwrl.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,dgyhhtwrl,9,dga_le_10
dhyxqb.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,dhyxqb,6,dga_le_10
dibynowyp.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,dibynowyp,9,dga_le_10
dibysowap.net,1,ExtraHop/DGA-Detection-Training-Dataset,dga,dibysowap,9,dga_le_10
dixyjazap.net,1,ExtraHop/DGA-Detection-Training-Dataset,dga,dixyjazap,9,dga_le_10
dlvqxowu.net,1,ExtraHop/DGA-Detection-Training-Dataset,dga,dlvqxowu,8,dga_le_10
dmiikopm.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,dmiikopm,8,dga_le_10
dmzmrxim.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,dmzmrxim,8,dga_le_10
dnludozer.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,dnludozer,9,dga_le_10
dpbmmbqz.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,dpbmmbqz,8,dga_le_10
dpoyrmhtv.net,1,ExtraHop/DGA-Detection-Training-Dataset,dga,dpoyrmhtv,9,dga_le_10
dppzcia.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,dppzcia,7,dga_le_10
dqmhhyixdk.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,dqmhhyixdk,10,dga_le_10
dqwabmkys.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,dqwabmkys,9,dga_le_10
drjzlane.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,drjzlane,8,dga_le_10
drkfteim.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,drkfteim,8,dga_le_10
drolstring.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,drolstring,10,dga_le_10
dsbbpar.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,dsbbpar,7,dga_le_10
dsliirspct.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,dsliirspct,10,dga_le_10
dtfxyypxhy.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,dtfxyypxhy,10,dga_le_10
duwmizogow.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,duwmizogow,10,dga_le_10
dvqvdozer.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,dvqvdozer,9,dga_le_10
dxewkdla.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,dxewkdla,8,dga_le_10
dxwrball.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,dxwrball,8,dga_le_10
dydonkklr.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,dydonkklr,9,dga_le_10
ebtguctmp.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,ebtguctmp,9,dga_le_10
ebtmpckrg.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,ebtmpckrg,9,dga_le_10
ebuwrq.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,ebuwrq,6,dga_le_10
eczsfet.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,eczsfet,7,dga_le_10
eeapys.net,1,ExtraHop/DGA-Detection-Training-Dataset,dga,eeapys,6,dga_le_10
eewmnta.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,eewmnta,7,dga_le_10
eiagewcuiu.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,eiagewcuiu,10,dga_le_10
eifcikfs.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,eifcikfs,8,dga_le_10
eiksoguoyc.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,eiksoguoyc,10,dga_le_10
eilsxlc.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,eilsxlc,7,dga_le_10
eiqcasay.net,1,ExtraHop/DGA-Detection-Training-Dataset,dga,eiqcasay,8,dga_le_10
ekvilane.net,1,ExtraHop/DGA-Detection-Training-Dataset,dga,ekvilane,8,dga_le_10
emalogbb.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,emalogbb,8,dga_le_10
emqiork.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,emqiork,7,dga_le_10
emsyaadij.net,1,ExtraHop/DGA-Detection-Training-Dataset,dga,emsyaadij,9,dga_le_10
enagbqyiq.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,enagbqyiq,9,dga_le_10
enwucasd.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,enwucasd,8,dga_le_10
eotherrari.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,eotherrari,10,dga_le_10
ephknbavah.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,ephknbavah,10,dga_le_10
eropkakua.net,1,ExtraHop/DGA-Detection-Training-Dataset,dga,eropkakua,9,dga_le_10
esrgjups.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,esrgjups,8,dga_le_10
etnidedvo.net,1,ExtraHop/DGA-Detection-Training-Dataset,dga,etnidedvo,9,dga_le_10
ewiwficjam.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,ewiwficjam,10,dga_le_10
exdpearl.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,exdpearl,8,dga_le_10
eybefmuk.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,eybefmuk,8,dga_le_10
eyjsstring.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,eyjsstring,10,dga_le_10
fafcsehdk.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,fafcsehdk,9,dga_le_10
fakfdhskn.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,fakfdhskn,9,dga_le_10
fazwoqvla.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,fazwoqvla,9,dga_le_10
fbqqmen.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,fbqqmen,7,dga_le_10
fcvaqvts.net,1,ExtraHop/DGA-Detection-Training-Dataset,dga,fcvaqvts,8,dga_le_10
fddiinrq.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,fddiinrq,8,dga_le_10
fdtrstring.net,1,ExtraHop/DGA-Detection-Training-Dataset,dga,fdtrstring,10,dga_le_10
fedfzsuf.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,fedfzsuf,8,dga_le_10
fenmswjal.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,fenmswjal,9,dga_le_10
ffvrbcbj.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,ffvrbcbj,8,dga_le_10
ffwvdpgc.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,ffwvdpgc,8,dga_le_10
fgnjfxtb.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,fgnjfxtb,8,dga_le_10
fhxcpyjd.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,fhxcpyjd,8,dga_le_10
fhxspcp.net,1,ExtraHop/DGA-Detection-Training-Dataset,dga,fhxspcp,7,dga_le_10
fivbmjkk.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,fivbmjkk,8,dga_le_10
fjcbmnsnw.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,fjcbmnsnw,9,dga_le_10
fkoywxdid.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,fkoywxdid,9,dga_le_10
fleiklkvom.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,fleiklkvom,10,dga_le_10
flqfficjam.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,flqfficjam,10,dga_le_10
flrbxmpuo.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,flrbxmpuo,9,dga_le_10
fmvyldar.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,fmvyldar,8,dga_le_10
fnbewftoy.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,fnbewftoy,9,dga_le_10
fndaork.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,fndaork,7,dga_le_10
fnfyislbeq.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,fnfyislbeq,10,dga_le_10
fnhotv.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,fnhotv,6,dga_le_10
fnoxxkeet.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,fnoxxkeet,9,dga_le_10
fnsertbhur.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,fnsertbhur,10,dga_le_10
fobehyhi.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,fobehyhi,8,dga_le_10
foldpzfkev.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,foldpzfkev,10,dga_le_10
fottldtl.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,fottldtl,8,dga_le_10
fplimkpax.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,fplimkpax,9,dga_le_10
fpnvopcomp.net,1,ExtraHop/DGA-Detection-Training-Dataset,dga,fpnvopcomp,10,dga_le_10
fpowlvgt.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,fpowlvgt,8,dga_le_10
fptcgwdhb.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,fptcgwdhb,9,dga_le_10
fqobzdivre.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,fqobzdivre,10,dga_le_10
fqoiymt.net,1,ExtraHop/DGA-Detection-Training-Dataset,dga,fqoiymt,7,dga_le_10
fqsudzhehk.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,fqsudzhehk,10,dga_le_10
frdmizbh.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,frdmizbh,8,dga_le_10
fselcgmfaz.net,1,ExtraHop/DGA-Detection-Training-Dataset,dga,fselcgmfaz,10,dga_le_10
fsgjoltt.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,fsgjoltt,8,dga_le_10
fslbpnhxni.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,fslbpnhxni,10,dga_le_10
fsxqpghtz.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,fsxqpghtz,9,dga_le_10
fvrhxqyq.net,1,ExtraHop/DGA-Detection-Training-Dataset,dga,fvrhxqyq,8,dga_le_10
fvslruhn.net,1,ExtraHop/DGA-Detection-Training-Dataset,dga,fvslruhn,8,dga_le_10
fvurball.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,fvurball,8,dga_le_10
fwesjctcz.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,fwesjctcz,9,dga_le_10
fwesqcxifr.net,1,ExtraHop/DGA-Detection-Training-Dataset,dga,fwesqcxifr,10,dga_le_10
fwfqlfqmv.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,fwfqlfqmv,9,dga_le_10
fyduipmbi.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,fyduipmbi,9,dga_le_10
fylutnffai.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,fylutnffai,10,dga_le_10
fyypqmpht.net,1,ExtraHop/DGA-Detection-Training-Dataset,dga,fyypqmpht,9,dga_le_10
fzxydozer.net,1,ExtraHop/DGA-Detection-Training-Dataset,dga,fzxydozer,9,dga_le_10
gacuvybude.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,gacuvybude,10,dga_le_10
gafzsvgk.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,gafzsvgk,8,dga_le_10
galunohadu.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,galunohadu,10,dga_le_10
gaquhezydu.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,gaquhezydu,10,dga_le_10
gcxseolosh.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,gcxseolosh,10,dga_le_10
gefbfthgr.net,1,ExtraHop/DGA-Detection-Training-Dataset,dga,gefbfthgr,9,dga_le_10
gfjawya.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,gfjawya,7,dga_le_10
ggpholice.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,ggpholice,9,dga_le_10
gifadyo.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,gifadyo,7,dga_le_10
giyangeles.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,giyangeles,10,dga_le_10
gkjyball.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,gkjyball,8,dga_le_10
gkychmp.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,gkychmp,7,dga_le_10
gkykhqgwri.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,gkykhqgwri,10,dga_le_10
gkzqjh.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,gkzqjh,6,dga_le_10
glfolba.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,glfolba,7,dga_le_10
gmacugum.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,gmacugum,8,dga_le_10
gmsgyosemm.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,gmsgyosemm,10,dga_le_10
gmzgpjud.net,1,ExtraHop/DGA-Detection-Training-Dataset,dga,gmzgpjud,8,dga_le_10
gqejfl.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,gqejfl,6,dga_le_10
gqiiet.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,gqiiet,6,dga_le_10
gqqfnkzwd.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,gqqfnkzwd,9,dga_le_10
gqwoqmcst.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,gqwoqmcst,9,dga_le_10
grdhoqj.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,grdhoqj,7,dga_le_10
greoiv.net,1,ExtraHop/DGA-Detection-Training-Dataset,dga,greoiv,6,dga_le_10
grwgwnvira.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,grwgwnvira,10,dga_le_10
gsdtshtydk.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,gsdtshtydk,10,dga_le_10
gsiojidqv.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,gsiojidqv,9,dga_le_10
gsrxjivg.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,gsrxjivg,8,dga_le_10
gsxepiwf.net,1,ExtraHop/DGA-Detection-Training-Dataset,dga,gsxepiwf,8,dga_le_10
gtljjwvhwb.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,gtljjwvhwb,10,dga_le_10
guzgbqugf.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,guzgbqugf,9,dga_le_10
gwecetball.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,gwecetball,10,dga_le_10
gwmmsp.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,gwmmsp,6,dga_le_10
gxkrxmrsoy.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,gxkrxmrsoy,10,dga_le_10
gxyffu.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,gxyffu,6,dga_le_10
gyhda1008.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,gyhda1008,9,dga_le_10
gzlwuycgr.net,1,ExtraHop/DGA-Detection-Training-Dataset,dga,gzlwuycgr,9,dga_le_10
hacekaz.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,hacekaz,7,dga_le_10
hacozuz.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,hacozuz,7,dga_le_10
hctlffbc.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,hctlffbc,8,dga_le_10
hcyuxyr.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,hcyuxyr,7,dga_le_10
hfnwdt.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,hfnwdt,6,dga_le_10
hfxfuxjkjm.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,hfxfuxjkjm,10,dga_le_10
hhbqotakbc.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,hhbqotakbc,10,dga_le_10
hideqsnlh.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,hideqsnlh,9,dga_le_10
hillride.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,hillride,8,dga_le_10
