domain,label
7w5je4qri91u1shiqsud0wt9k.com,1
thepopevideo.org,0
gamedesigning.org,0
jiangyi168.com,0
offerthey.org,1
berrlpoa.ru,1
interpol.int,0
imtest.de,0
teach-this.com,0
sickaunt.com,1
uvnlucqvthsiyb.ws,1
qmvyymvlpdydltwwnkais.com,1
hjv6s61caiywl1n8t93b17xdzbo.net,1
so-dns.info,0
intoto.nl,0
arivemine.ws,1
hanjincon.com,0
rdce221yu3p8lut1m0bbenaxc.org,1
australiandefence.com.au,0
cryptinxy.com,0
test-axa.pl,0
1hmmz021wkx7fxg1ee16enyvdx.ws,1
nrlmlbvrgirtfwy.net,1
1wvvex2p2ani42jsq91d888j1.org,1
rosinkas.ru,0
easyorders.shop,0
joinweight.info,1
8885.casino,0
oclogepavyaywuuakig.com,1
dozortel.ru,0
txymswbbsgigege.net,1
mywebselfsite.net,0
gladjune.com,1
shubigu.com,0
18c5kwhrqcusw1xjuio7uqm4n5.org,1
cloudhurry.net,1
gwuruamssydxc.net,1
sportbuzz.com.br,0
lemontopcloud.co.uk,0
lighting.com,0
1x18ign1gss7731jice6o1ynn4z8.com,1
aprilgolightly.com,0
jglqwzh7okzf1y7g6971s8ka2w.org,1
uanejpkcfrdd.ws,1
byunpfvvyblmitksy.net,1
gqjhecmrytzpvsmveypbmdei.org,1
1mv5ean1j4tuwg1u5yda31344bfn.org,1
belstu.by,0
portfolium.com.au,0
kapelnicza-ot-pokhmelya-voronezh-7.ru,0
usfreeads.com,0
pickcold.com,1
dnsperf.com,0
trabajito.com.bo,0
vnetmvicltlflg.ws,1
dvellyhcqwckv.org,1
tkdlyatf.org,1
kabarak.ac.ke,0
1kcf9fq1ddaqd130u3bsc8rjuo.biz,1
schrauben-express.de,0
rodakorset.se,0
septemberjune.com,1
16m7s9u1ny4zj91dl55q2iowty.cc,1
visitgreat.info,1
hyvwcvolribkrozrwoem.ws,1
1yu2g3qr77gce9rct53lboa0.com,1
turfshowtimes.com,0
epmxeu1uf95je4tkum013d1wga.com,1
elmercurio.com.mx,0
1080pok.com,0
16y3065dxqtg20jb231ltw552.biz,1
apiteamn.com,0
magicafro.fr,0
b5z8fk14qlssicnka6p1svwnpm.com,1
hbgsujkqcjtlk.cc,1
mgts.ru,0
science.gov.az,0
chinaheatingelements.com,0
sdis50.fr,0
bys7881opikwk1wr5fryqo79pz.com,1
malopolskie-media.info,0
haqaytoxemfiderxkkblmvtl.tk,1
1hva5fh1dg9dcp1bxlefa1atdvcu.ws,1
vuhdo.io,0
kazah.io,0
elloagencia.com.br,0
jayatogel1.com,0
elevateshoes.de,0
uviyalxb.ru,1
meublesthiry.com,0
hof-university.de,0
caseleft.com,1
1c34ylgi976c8lt3jhhl4797m.org,1
akb48rompen.com,0
mquxmuhqivvv.ru,1
deadhour.cc,1
urgentit.eu,0
78frtp.com,0
htovmobvkrictyqaidt.info,1
1hdyd5j88bdepvgv7ds14ec3rt.com,1
stafferlink.com,0
spokename.com,1
214801771.xyz,0
zengambleexpress.nl,0
iciformation.fr,0
svharbor.com,0
squiz.net.au,0
tvoikartinki.com.ua,0
09e88ada51672f67eb68925f95764066.info,1
consolemonitor.co.uk,0
lgwtlqfuxcug.xyz,1
thekking.is,0
dmvpeqyhupjlzwkdifulznfqc.com,1
likaman.co.jp,0
ensembl.org,0
home-light.eu,0
khedmeh.com,0
doctorarthritis.org,0
lohud.com,0
equaldont.net,1
18dtllj1szx7kscsducx1oo46xh.ru,1
ecukbo1rvw2q64kscvcjuajzk.info,1
ar999i.com,0
etimaden.gov.tr,0
birdviewpsa.com,0
praxis-dilly.de,0
madedance.com,1
investorzone.in,0
swiatczytnikow.pl,0
effeta.info,0
tuaw.com,0
xnxx.top,0
lishisxk.com,0
1hew3i0h9v6wo10bmeiksfmdv6.info,1
visitsince.net,1
jwvgulidocqvgqh.info,1
fctv.ne.jp,0
oxhkfcnxgnxh.com,1
intereconomics.eu,0
dreamtear.org,1
norsktippingpartner.no,0
yardbreak.com,1
termcat.cat,0
vmmo.ru,0
inspirerendleven.nl,0
bestfreestreaming.org,0
ninecelyn.link,0
moakt.com,0
do53t91gv9kir1evx6zb1thh9io.cc,1
fundzbazar.com,0
yqiiotmstjqmpkl.com,1
pup.ac.in,0
th42mh18gbei41kdwkea19r4dfb.ws,1
ports.go.tz,0
pinten5vmaqg16han81iies3i.info,1
xcgezrsvowszpnbivknciukfbefm.ru,1
pzfyxcyxknjtojflgmrhd.ru,1
ty7bto1icaqve1s7xn9b165wnb5.biz,1
theusedkitchencompany.com,0
gqohsnarttvtl.ws,1
theorywellness.org,0
wiwanqjgfman.com,1
littlelizardking.com,0
detect-face-shape.com,0
qtsuaqgtcytrlrltst.com,1
securitytrfx.com,0
panamaregistry.com.pa,0
dsb9lz1zetliwh5mdg1094563.com,1
15d5tc6b7vmjq13uu2jcr69if.com,1
scrabble-valide.fr,0
shoomq.net,0
loteriasgordo.com,0
dline-media.com,0
profesionalhosting2023.com,0
giujlvao.com,1
vxjoalxqi.cc,0
tnkczw995h0n1xv75tl1t904ta.info,1
facom.com,0
1272fmw7165hmdi2bh860e74b.biz,1
hangdance.com,1
hknngstbfmoanb.com,1
encentivizer.com,0
144hqua1gfafys1ogm3pw1dqzyn.com,1
iru.org,0
eazybusiness.in,0
intermoto.pl,0
1li8p8j315cvcyqgootba8d18.org,1
dutypage.cc,1
rgceduoeonivhaehcynfuodut.com,1
prskssymjvm.net,1
a23cc6cb6f0890a015c7c915b5974d73.info,1
uhdnow.com,0
rdyxfjjqhuavqn.com,1
actionfigureinsider.com,0
wqmsvmcymhnfro.com,1
mitgaisim.idf.il,0
qhgafblyqpcker.biz,1
akfmwprodswie.com,1
sais-jhu.edu,0
kyxvfudutwthpgtrwebgu.com,1
vitally-eu.io,0
signshot.biz,1
o2business.de,0
1semdr9s8x0ye1r4yem810lxzaa.info,1
shopifypreview.com,0
juicymaturepussy.com,0
tufrbnbuojwa.net,1
triedfive.com,1
1oypt4h1sabdb3tpze9c1fyrv87.com,1
casan.com.br,0
autoline24.ph,0
1o52vvnjof05mqnhdfxhti5ty.org,1
gresit.ro,0
sc88e.com,0
torrent.to,0
bwbcontent.com,0
krvcidihqcrsgqhvzdflzwo.com,1
signfruit.xyz,1
xgcqvoucqpgemofhrtwbucp.ru,1
kalelekai.com,0
instaspinofficial-uk.com,0
kdc2701swkgs51vrx4qrl87wmq.com,1
plvqauvkvsaekrbmyxivffit.biz,1
ysnycgsxmdiq.net,1
vaaaavaaadaq21.com,0
offertold.ws,1
cdnw.net,0
1rbd15xegk1dyma2tr4wppbe4.click,1
vagabondmangafree.com,0
1avfw61054zl015ztd6led5fpo.org,1
cctikhyi.info,1
gladtuesday.ru,1
lwvwktjpwswnp.com,1
jomsocial.com,0
1fk25upszlntpzurzml3uzwqz.org,1
watchhorse.com,1
lhkasiqjkiqh.org,1
snadwoyduhedv.com,1
tauixafstlm.net,1
snv63.ru,0
dsgetwkeagity.biz,1
ahkphjyjirqthtj.org,1
e-vels.lv,0
spymetrics.ru,0
takenmeet.com,1
canonrumors.com,0
pipingrock.com,0
zma15.casino,0
swissimage.net,0
17lcl7m1s2oc9f9cv7hyg2hwhj.cc,1
moarpyiismidns.com,1
uwlbevcnleawa.biz,1
obkvhgvwgqpojdurtbqknp.ws,1
ijke98kjh7h51d6xyq018s8wy6.com,1
flinkhub.com,0
84353b7c4a80a81a7925183b6def43a1.com,1
virusdrop.online,0
dnrdiojambenfmzpjftdxczt.xyz,1
jonkabat-zinn.com,0
southpress.ws,1
lookme-e.com,0
exwvhobtyeo.net,1
agri.bg,0
world-weather.info,0
adeo-it.de,0
71ce378ed9a43913882aa3707cccc8b8.com,1
kofferraum.org,0
dq9wsc1rxjd81ikix6fmn5fm5.biz,1
wronglight.org,1
njhqouoxyprcuwucxgeprhd.info,1
lieeng12h6ljww6idomywoue4.com,1
swnvnoxdwvl.com,1
cegos.fr,0
jibeno.xyz,0
roomheld.com,1
yxhdptotvmrddqsoprhhy.com,1
19xlzu414d0zwfwp1q2i9u67ab.cc,1
jcrkjflrfkjjkbyxrrhn.org,1
b7do2auz9tgcsk1gfk9clpl9.xyz,1
clicktohighbrandpromotion.shop,0
nqaqkmflduoa.com,1
roomprice.info,1
d6gpp919affsp2s1og2cfrezy.com,1
1roh8dn1ke5zbs1r2gnyq1kgg9hd.cc,1
sosmedfast.com,0
kawasaki.com.tr,0
zyhinf1mn48k9142x2n41bibolr.ru,1
rmyopj1imgrtk1f38u0uhkdadx.cc,1
vidaas.com.br,0
truyenqqko.com,0
glyndonmn.com,0
nnhj0r1k5ztefk1kmu18o8fuc.xyz,1
instgram.com,0
xanal.website,0
kinogo24.com,0
mpjhpwlmufdkei.xyz,1
porno80zs.site,0
hahow.in,0
zbrushcentral.jp,0
get-direction.com,0
mmnews.de,0
kiqujxecpeeennd.com,1
joinfeed.info,1
reparatur-initiativen.de,0
mamaexch.net,0
kyvgvbyokxthqj.com,1
phichit2.go.th,0
1orkuw7evr5v01t5i6ht1vzxb1v.info,1
6hp8o1q1xxjywvkn81p7chft.net,1
jzdc8cznqcdd1sfwuhp203vjn.net,1
triedcould.com,1
taxbbqc.info,1
telelink.cc,0
xhezkndwgizljxgegqvgaeyq.cc,1
mqhvrcabun.com,1
redress.org,0
15uk7euywtiq9ssilgt1f7olk8.com,1
safehost.com.au,0
sobuzhjxscxoqoswduypgnrmbda.com,1
prowebology.com,0
lhdxivr.cc,1
biomwtk.cc,1
liistkspthloqx.tk,1
shabkni.com,0
joinallow.cc,1
luckyjackpotzone.nl,0
takenfloor.com,1
yoursrs.com,0
mbfmknxpxukvcwsibzdxifptk.biz,1
naturacloud.com,0
etsy.com,0
neworleanswebsitedesign.com,0
bqg161.com,0
city.imabari.ehime.jp,0
printshoppy.com,0
eouotj3mm4to1e7cnft517ezn.biz,1
2ibupxvcy5x4uzrbw6mlfxz9.tk,1
grude-online.info,0
lamacta.com,0
cyclechat.net,0
icicibankrussia.com,0
arzt-berufshaftpflicht-versicherung.info,0
runner.it,0
kokgkmuxfnbalr.org,1
totalh.com,0
usbair.com,0
mikai.org,0
u6p8uqme4h416gq8py9c1s81.ru,1
davesredistricting.org,0
bancohonda.com.br,0
bakerfurniture.com,0
sightfive.net,1
1bufxfr67qqi3316uwrc4gfvi.biz,1
confirm2025-help.icu,0
1000plus.me,0
nyat.app,0
anofm.ro,0
rgqgpnsgpvylobeutpjlshqx.com,1
strana.co.il,0
septemberhelp.com,1
egyporn.org,0
wallofsoundau.com,0
ebilet.club,0
evenmcoyrorx.biz,1
mswxpiahvuixbtfwgcka.net,1
yknxdqvps5k51tj4hcm91bqep.org,1
septemberhouse.net,1
b6c97227cad15fd1a133ae1682916128.ru,1
stihldealer.net,0
milkteach.biz,1
6xopyw80e1751alh1vlnxhduf.ru,1
real-estate-for-sale-in-phuket-2.com,0
astalty.com.au,0
g8jqv81gb9iioplvhhu7ptbu9.com,1
songdare.net,1
helasasa.com,0
by.me,0
allianzstadiumtwickenham.com,0
oyttaojdyj.ws,1
concours-fonction-publique.gov.dz,0
1hzz3mo1vl387o1okmgyd1hj6bx4.biz,1
hoichoi.dev,0
rubhgsgtwjfgcxpaeke.com,1
gamer-gazette.co.uk,0
zlmm4smzs3zo1kbbf1e2vn3a.cc,1
sptel.sg,0
rc24.pro,0
b6vlfv.com,0
ethnicboutique.in,0
yushengbbs.net,0
erqrsdsgaikok.com,1
iljsswrmmlbebfetvx.biz,1
newtheater.cc,0
weather-forecast.com,0
spotmarry.org,1
na6s6vrxun6ilx32w21apgyq2.net,1
80b657bf04abb14339cab922ae6b3338.org,1
pukxyiehifqctv.ru,1
moskva-putinu.ru,0
nhg.nl,0
zwp-online.info,0
uokyogaplmllt.tk,1
5g0dqeusj2zz1n7s2xz1kdq91a.com,1
tyslimvjstkxlvr.cc,1
dstv.cx,0
2332.casino,0
monte-mare.de,0
yfrjkfvxyoxqrt.info,1
190ct7s9lv4d33dagomwbska.com,1
opjm6i6j7vzlo6tks516m2qjc.click,1
relef.ru,0
pbwgojemdlzlxlnltgtkda.biz,1
mohtgroup.com,0
cwsglobal.org,0
xjzwsxeqrsqseyppfuscqk.org,1
golisimoo.it,0
dieuutwsqifdtdb.com,1
32market.com,0
uttarahosting.com,0
trs-shiftmax.jp,0
musicwhere.cc,1
uudbtdsipanmi.org,1
quzuxgla.cc,0
thudpecdcbsaqqkaejrq.info,1
1ux4cyy1v9rj9d1el93uh9fitlm.info,1
1p079uuyf2wuynapwijk650gf.net,1
51sma777.com,0
vitux.com,0
threeusual.biz,1
arivehunt.org,1
kjkrnylceceqwhqhqibpfmjldifacy.net,1
11v2eq01n55ub51lzgfwtbmsn8g.info,1
rjjgc3wvhsskcyxa9s33m7kp.org,1
wnsdhafyeshkq.xyz,1
774bfbc88085a361435ddf27168586a9.tk,1
cgie.org.ir,0
ydptkywxkkivmnedhuhhh.biz,1
graberblinds.com,0
qdrejgpudremfshcdh.com,1
nationalsportsid.com,0
aldousbio.com,0
pdyvstemniryoslxtisuy.ru,1
ibxaoddvcped.com,1
17voh14xyxr443l2icr1b871pi.com,1
finalank.net,0
worktile.com,0
181i8bg1v9x5vv90g15h1bntq8p.tk,1
papachina.com,0
lordonly.net,1
vr4u6yttaj0swi1tja17dof97.cc,1
55rq6f1r0olcg108jdy67byy3u.cc,1
xxauddofpdionfmdzhpdaknjz.info,1
1ytt8p61vhrl87nhobr1s2ytqj.org,1
xkxksocahqmzhuqbilnytmnemkb.org,1
euuotskovydgitwfyucxkukmbjr.com,1
2u8hvte1umfg1ys6e891m32cyh.com,1
myconsultation.be,0
magyepramjampetkeyiceair.com,0
90a4h61ezfnzz2b1o391uwy3.info,1
watchdance.com,1
xpyua17o5mdd1fvjc1iuqz9lg.ws,1
cuexamwindow.in,0
tbefuohykhraaxx.ws,1
gambletroll.com,0
ww46ua1rlvj401yv01gw4ta2h0.com,1
1sjo6511d73f2vmh2emt1esijo8.ws,1
sikkertrafik.dk,0
13zvinb2kbtdmdm0wvi2ltuj.com,1
987f5dr8sback9lqff1hyhgvn.click,1
fmovie0.com,0
xpandex.es,0
cghub.com,0
rajasimo89-gg5.cfd,0
iihl.org,0
142k9ev1l5q2ba1bcm66zytkjs1.biz,1
musicought.click,1
easyserver.pro,0
wpxhosting.com,0
hdztpzbydmlvbewgmbxnryp.biz,1
jksync.com,0
moztw.org,0
rgmwb.gov.in,0
armenergy.ru,0
tidbitmail.com,0
milw0rm.com,0
7i6hdtdvwaln1mrvaiv1wf3qwc.com,1
somoeskclxbq.xyz,1
maibangshb.pw,0
offerhalf.org,1
shawkyallam.com,0
lordwore.biz,1
1uroy0i1exp5r19669dc1q52epe.com,1
beyondlogic.org,0
sgmtdddtgcjmrsp.tk,1
kzn-opt.ru,0
hcxbyejqthumvev.org,1
1mkx6pr1h0e1ul7pwni91eq804h.com,1
thesegift.biz,1
1ewbzfd1g41w7e1d5yeoz1o8pfut.com,1
1nqw0yj1i5y1wxyb2qkokc8gsi.org,1
aiiqiamhxcyuibqwra.net,1
prepody.ru,0
alfa-bank.by,0
ddtbjofvjbuwm.info,1
1c6kxh4qpgg48rxyh5ookw05x.com,1
bigbandot.com,0
manpeace.org,0
songmile.org,1
banook.com,0
bgateway.com,0
lamaisondelinvestisseur.com,0
mangas-fr.com,0
qwhnjfavsaswtuqmfpflvraq.ws,1
gus-info.ru,0
visitfeel.net,1
6o9c5p1s7ruhcur7mod3jzc1g.tk,1
noln.net,0
inoagent.lol,0
hmvcqcduzdeiuhjvjrddkvt.biz,1
canberratimes.com.au,0
healthwatchmerton.co.uk,0
ki2hflc60157ytcta31s938b7.com,1
integralmemory.com,0
bleach-soulresonance.com,0
episodehive.com,0
morechillislot.com,0
emeraldcasino.co.za,0
saco.se,0
agire-maroc.org,0
mitsuifudosan.co.jp,0
animegratis.net,0
iyzocx19rmh5mvqlqvxmndt4y.com,1
nzxreavgeyjzpfjvaepymjainkn.cc,1
cydyzpvwdqeutkzhvkvsljzlozkv.net,1
sqqhwg.com,0
whomking.info,1
zuu378ffi3.com,0
casegrave.info,1
spotfebruary.info,1
globalipaction.ch,0
gamegpu.com,0
huizhewu.com,0
whichelse.cc,1
7tcu30i0qqoj133rcvpek9v9c.org,1
collectorcrypt.com,0
takengift.tk,1
1c0e3xtitrte21d24turhdatgr.xyz,1
nbvsydducmdwdgycytfqtugmj.info,1
uolmxflojhdhldd.com,1
z299vvi2ppl.com,0
ithppnisypusjkl.info,1
salthouse.click,1
ulephih.com,1
1brs8rk1nnqtwy1jkrghj1a8wqu.biz,1
swiftgear.autos,0
chuoichientv.com,0
ymtiqbl1u4.ru,0
gviaiooxcqnmwmx.tk,1
quickcount.cc,1
totobi.pet,0
rjnuslfaavknd.com,1
oneam.cloud,0
pdfcreator.com,0
mdxprod.io,0
gucitgfozjrbejvbmwealnswwcuw.net,1
madedish.net,1
vwpjnoukv.org,1
ewinr.com,0
powertel.org,0
thesepull.org,1
kro3kk5288x5upj6yg1hbrizr.com,1
sisad.mg.gov.br,0
ac30b0fa21bc713cdedf796706a2b69d.org,1
1xwrvbz1mjz0t4uiuau315clg1s.com,1
crickexply.com,0
wnfybj.com,0
thefreshloaf.com,0
h0o3g3.com,0
kinggroup88.xyz,0
clickfraud.ru,0
top-expat-insurance.com,0
ad-nagatasalesanalysis.jp,0
myworkplaze.com,0
m9wl9zyyhvkysrxw94hhlcnp.net,1
unionaire.com,0
qsnhjcsccoln.biz,1
800800.eu,0
vtvgujarati.com,0
ableheat.com,1
fc2cmadb.com,0
ewuejfhwrharewdm.click,1
areavag.com,0
gransta.jp,0
grsfalsvadpbikg.com,1
macibet-vip1110.com,0
11didua10xuga41furzyp1vwpczr.biz,1
hqlwoswjtgyibthulylqcof.net,1
nwnsulsq.cc,1
lgtbuhpindlmu.info,1
onlinecompass.app,0
ssrana.in,0
ukowohhqkrqshsobemfhgyzleq.ru,1
uponmeet.biz,1
lookbreak.ru,1
sub4uh15b0ds04lm0l56i9nvd.ru,1
saltroll.com,1
126wwhljozvv9mr1e2516ienq5.com,1
ggvmyowoxbapf.com,1
hillaugust.biz,1
1u1iv9z5osm79ypfysb1dexwa9.com,1
bymkwmdedhqafey.cc,1
gh2crz19ksqxq1ctdv1mxs7m7n.xyz,1
unknownworlds.com,0
ca33movies.top,0
elektor.com,0
cikfrwpljyhxyhqytmvlrzxhamrif.ru,1
miditech.co.in,0
starflix.net,0
ghextxmusi.org,1
1pci05safhidzrojtpu1hvsj6h.ru,1
hamsterspot.com,0
apiujhrpujknw.ru,1
muypjartecql.net,1
1ij5he9b9cms3u80b701g9t08f.info,1
groupkind.org,1
heavencloud.in,0
qlvoyqjgu.ru,1
eccj.or.jp,0
whicheasy.org,1
madbdsmart.com,0
1blzmz4mab8hf1b09qt61neecb.com,1
lvrkhuatgjruwukytghzhzijdi.biz,1
fundacionsantafedebogota.com,0
ktrcajmn.com,1
1rx8n711snvdq61utrwtouoicu4.com,1
19gdotm1xflnyq1i97cidpdr47k.com,1
akhbzezfplr813er19vfss6s0.ws,1
opnxng.com,0
axcapital.ae,0
diecastairplanestore.com,0
southhome.info,1
icare-world.cloud,0
kelasahli.com,0
nhskd3luyzed1tp57yo53s9it.org,1
sddf.ru,0
eq16tsjiuup314lw43e9ydtl6.info,1
lookconsiderable.org,1
soloqchallenge.fr,0
zing.cz,0
mycomedica.nl,0
1sfb0lwsxrnf6jyx0g8wvx1qy.info,1
streamm4u.vip,0
rx-tx.info,0
eventamovil.mx,0
chroniclebooks.com,0
oholkjhcwtjw.com,1
xioqahpljtlmft.biz,1
qz78x7mvxdg61aaa2jg1hrteey.xyz,1
rfrgckthhnuh.com,1
motomco.com.br,0
bestiefy.com,0
sightgold.ru,1
1cbit.ru,0
mostpeace.org,1
xwsmhvtyfrcyuolv.net,1
1fqehzw11590521itny5lw52ywa.xyz,1
vid65.info.in,0
flryxwxu.com,1
nsjkqnhlfveha.org,1
myinfotaip.com,0
guests.casa,0
makemycottage.com,0
gray.tv,0
1izndao30w09y71fv68ixg3p2.xyz,1
zwcloud.wang,0
xdh4r718jce0c1z0xk6y1t3r1z.ws,1
herkku.net,0
1gzuovpvjrk0u1tx1akh1iv6nue.com,1
000h555.com,0
speedvitals.com,0
ceoiam.com,0
arabi21.com,0
ioilfbbjatmk.org,1
1oexq1e10kjakq1u8odtvu1cihg.ws,1
eservice-drv.de,0
ilvhfkrivbnsxdk.biz,1
ysoxgbkg.cn,0
dfcppmbwfpxsorfgj.com,1
myalbum.cz,0
scxdyxx.com,0
sunpalacecasino.eu,0
payerpath.com,0
sixthman.net,0
obhtvveyjxddnvhvktk.info,1
axxokojrekrkuvt.org,1
xsgwkrcluoskpjbqizypemlv.info,1
wifethrow.net,1
ieowwxxwfwuha.net,1
1nrjsnmoag3vs112putoxfuci0.info,1
hacklink-tr.co,0
lkbnrlofjrwfeywcfu.org,1
sec-provider.de,0
1oe3ebp1jk3fmeo13el849uqbn.com,1
songcolor.ws,1
usccamibpibwoaehaskfibmkv.com,1
24videos.biz,0
lantronchips.com,0
teltow-flaeming.de,0
kdbxwpvhwxyro.biz,1
hangmine.org,1
verysource.com,0
jbznraelbugljugaukbozfyxcqu.com,1
hotmilfsmeet.com,0
voip-hq.de,0
pfhaxhtosvhddne.net,1
yudnrdguoutfpuca.net,1
ourgold.ru,0
d2fa9c02a61b22d1badc03d3e28592b9.com,1
meathome.biz,1
ngwemoung.com,0
mybooktower.com,0
deerfield-beach.com,0
wentbuild.com,1
ujdiinjrvwugdescpvnfjsofhx.com,1
timesconsultant.com,0
mhsr.sk,0
pasweetdreams.com,0
wallgrind.be,0
mtproxy.cfd,0
v2g1yffbc3kd1nnk937zo9uds.com,1
cf9sn110vldk11m87gxdtf36am.tk,1
6x8ye05tmuqqoz2fq419qsooe.net,1
apitd.net,0
uvudhglm.info,1
hhpfyheukjgqhiamknxpvlqqgci.com,1
bidder-playdigo.com,0
gorba.com,0
13xvqqcgxktax1p9jkjor27flj.com,1
filminigay.com,0
lamoodbighats.com,0
dreamfish.com,1
nxufulyy.cc,1
d6mgdhz6f8vtkh46of1mz314t.com,1
ifcmarkets.com,0
swiftkey.com,0
f08.ai,0
umxy31a8zlzdoeiq841tckt2i.com,1
dutycolor.com,1
lelosi.es,0
jeymprsviifly.biz,1
qqgyvyasrhkosk.net,1
whomcompe.tk,1
orhatuceykzwodexdbescjzwo.com,1
pjnudk1evwo6n143zy9g195picr.ru,1
camlog.de,0
withthan.net,1
1n8ff7h1ptljmo7piimu13u0z9z.com,1
whichfool.com,1
tadcppn.info,1
oyupjsqm.click,1
slot704hub.top,0
qcqsdaewyhvvlg.ws,1
1pbn0n412i089yrdoqq7c5ogig.org,1
oiwqwrhgumksvpbktf.ru,1
npuudtulkwfpaqjvsdrk.com,1
1yscsvn1a6ue4z1u7zbhx7v0dle.com,1
ok9.movie,0
wcsdwvdbpimqg.com,1
shopdriver.de,0
c92d464ec85397f9635955089ee30ff2.biz,1
pronovabkk.de,0
smtplw.com.br,0
songopen.tk,1
9f816ac837d59f4a1c12f1d977f941bd.com,1
sabio.de,0
china2025.nl,0
d7n7a7.com,0
vhzab9p28njmld3dn51784wi1.net,1
pmdjumcfxpywbwrx.biz,1
steren.com.ec,0
ateliemagazine.ru,0
gatewix.sbs,0
soqppambvrxhnmbpluoap.com,1
eyesandmore.de,0
50f8a8b5d5d6dc8aa3a8214e9ebccba8.biz,1
jackpotprime.nl,0
gqhmbgyxdydqmnwsldmaetfw.info,1
1ybnxq2hsd714biw6pt1io6hbm.com,1
17iuq75e13o3515y6xkyjhvw8g.com,1
endemia.nc,0
kia.com.kz,0
10m2vuq1g2cpyhwm97ci1qrcafs.ru,1
headthrow.com,1
pmg1phnouteu1i57rko1a7hpb8.com,1
vdvpcbdsjvurlcnxa.net,1
1i6gdyff1l6gy1i6zsr110nwjw1.tk,1
19ydmikd1r8sjeiwgyweai0tf.com,1
primacom.net,0
fairunder.info,1
kwxiojstfyafge.ru,1
tamdqeqjdnjpypvoxorwoirqs.info,1
tlnpbrlsxillab.tk,1
prohnrg.com,0
dewstzugcehqxrkxldieulftovs.ws,1
16fab9618fm4ejrztvsw1phrz12.info,1
mipvfhjqhvax.biz,1
lojameumantosagrado.com,0
arivefell.ws,1
lib-higashiosaka.jp,0
vsknemrpgihizaqzxtgfmsogejv.info,1
hentaichan.cc,0
gmomdvqfmhsp.ru,1
